song_id,title,slug,original_artist,first_known_dead_performance,last_known_dead_performance,notes
song-sitting-on-top-of-the-world,Sitting On Top Of The World,sitting-on-top-of-the-world,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-smokestack-lightning,Smokestack Lightning,smokestack-lightning,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-space,Space,space,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-stella-blue,Stella Blue,stella-blue,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-sugar-magnolia,Sugar Magnolia,sugar-magnolia,,,,
song-sugaree,Sugaree,sugaree,,,,
song-tennessee-jed,Tennessee Jed,tennessee-jed,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-the-other-one,The Other One,the-other-one,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-tomorrow-is-forever,Tomorrow Is Forever,tomorrow-is-forever,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-truckin,Truckin',truckin,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-turn-on-your-lovelight,Turn On Your Lovelight,turn-on-your-lovelight,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-two-souls-in-communion,Two Souls In Communion,two-souls-in-communion,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-uncle-john-s-band,Uncle John's Band,uncle-john-s-band,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-weather-report-suite-prelude,Weather Report Suite Prelude,weather-report-suite-prelude,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-wharf-rat,Wharf Rat,wharf-rat,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-who-do-you-love,Who Do You Love,who-do-you-love,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-you-win-again,You Win Again,you-win-again,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
