release_id,person_id,role,instrument,notes
release-the-grateful-dead,person-bob-weir,performer,background vocals,MusicBrainz artist relation (vocal) on 1 credit for release ff1a2d46-5ab4-3d42-90bb-43176767a468; studio release-group pass.
release-the-grateful-dead,person-bob-weir,performer,guitar,MusicBrainz artist relation (instrument) on 1 credit for release ff1a2d46-5ab4-3d42-90bb-43176767a468; studio release-group pass.
release-the-grateful-dead,person-bob-weir,performer,lead vocals,MusicBrainz artist relation (vocal) on 3 credits for release ff1a2d46-5ab4-3d42-90bb-43176767a468; studio release-group pass.
release-the-grateful-dead,person-jerry-garcia,performer,guitar,MusicBrainz artist relation (instrument) on 1 credit for release ff1a2d46-5ab4-3d42-90bb-43176767a468; studio release-group pass.
release-the-grateful-dead,person-jerry-garcia,performer,lead vocals,MusicBrainz artist relation (vocal) on 6 credits for release ff1a2d46-5ab4-3d42-90bb-43176767a468; studio release-group pass.
release-the-grateful-dead,person-phil-lesh,performer,background vocals,MusicBrainz artist relation (vocal) on 1 credit for release ff1a2d46-5ab4-3d42-90bb-43176767a468; studio release-group pass.
release-the-grateful-dead,person-phil-lesh,performer,bass,MusicBrainz artist relation (instrument) on 1 credit for release ff1a2d46-5ab4-3d42-90bb-43176767a468; studio release-group pass.
release-the-grateful-dead,person-ron-pigpen-mckernan,performer,lead vocals,MusicBrainz artist relation (vocal) on 1 credit for release ff1a2d46-5ab4-3d42-90bb-43176767a468; studio release-group pass.
release-the-grateful-dead,person-ron-pigpen-mckernan,performer,organ,MusicBrainz artist relation (instrument) on 1 credit for release ff1a2d46-5ab4-3d42-90bb-43176767a468; studio release-group pass.
release-who-are-those-guys,person-david-nelson,performer,guitar,MusicBrainz artist relation (instrument) on 1 credit for release 7f0f382f-2007-41da-8b73-fd88c5a4d14f; studio release-group pass.
release-who-are-those-guys,person-john-dawson,performer,guitar,MusicBrainz artist relation (instrument) on 1 credit for release 7f0f382f-2007-41da-8b73-fd88c5a4d14f; studio release-group pass.
release-workingmans-dead,person-bill-kreutzmann,performer,drums (drum set),MusicBrainz artist relation (instrument) on 8 credits for release 15faf802-8bd9-4125-985b-778bced8ace5; studio release-group pass.
release-workingmans-dead,person-bill-kreutzmann,performer,percussion,MusicBrainz artist relation (instrument) on 8 credits for release 15faf802-8bd9-4125-985b-778bced8ace5; studio release-group pass.
release-workingmans-dead,person-bob-weir,performer,guitar,MusicBrainz artist relation (instrument) on 8 credits for release 15faf802-8bd9-4125-985b-778bced8ace5; studio release-group pass.
release-workingmans-dead,person-bob-weir,performer,lead vocals,MusicBrainz artist relation (vocal) on 1 credit for release 15faf802-8bd9-4125-985b-778bced8ace5; studio release-group pass.
release-workingmans-dead,person-david-nelson,performer,acoustic guitar,MusicBrainz artist relation (instrument) on 2 credits for release 15faf802-8bd9-4125-985b-778bced8ace5; studio release-group pass.
release-workingmans-dead,person-david-nelson,performer,guest,MusicBrainz artist relation (instrument) on 1 credit for release 15faf802-8bd9-4125-985b-778bced8ace5; studio release-group pass.
release-workingmans-dead,person-jerry-garcia,performer,banjo,MusicBrainz artist relation (instrument) on 8 credits for release 15faf802-8bd9-4125-985b-778bced8ace5; studio release-group pass.
release-workingmans-dead,person-jerry-garcia,performer,guitar,MusicBrainz artist relation (instrument) on 8 credits for release 15faf802-8bd9-4125-985b-778bced8ace5; studio release-group pass.
release-workingmans-dead,person-jerry-garcia,performer,lead vocals,MusicBrainz artist relation (vocal) on 7 credits for release 15faf802-8bd9-4125-985b-778bced8ace5; studio release-group pass.
release-workingmans-dead,person-jerry-garcia,performer,pedal steel guitar,MusicBrainz artist relation (instrument) on 8 credits for release 15faf802-8bd9-4125-985b-778bced8ace5; studio release-group pass.
release-workingmans-dead,person-mickey-hart,performer,drums (drum set),MusicBrainz artist relation (instrument) on 8 credits for release 15faf802-8bd9-4125-985b-778bced8ace5; studio release-group pass.
release-workingmans-dead,person-mickey-hart,performer,percussion,MusicBrainz artist relation (instrument) on 8 credits for release 15faf802-8bd9-4125-985b-778bced8ace5; studio release-group pass.
release-workingmans-dead,person-phil-lesh,performer,bass,MusicBrainz artist relation (instrument) on 6 credits for release 15faf802-8bd9-4125-985b-778bced8ace5; studio release-group pass.
release-workingmans-dead,person-phil-lesh,performer,bass guitar,MusicBrainz artist relation (instrument) on 2 credits for release 15faf802-8bd9-4125-985b-778bced8ace5; studio release-group pass.
release-workingmans-dead,person-ron-pigpen-mckernan,performer,harmonica,MusicBrainz artist relation (instrument) on 8 credits for release 15faf802-8bd9-4125-985b-778bced8ace5; studio release-group pass.
release-workingmans-dead,person-ron-pigpen-mckernan,performer,keyboard,MusicBrainz artist relation (instrument) on 8 credits for release 15faf802-8bd9-4125-985b-778bced8ace5; studio release-group pass.
release-workingmans-dead,person-ron-pigpen-mckernan,performer,lead vocals,MusicBrainz artist relation (vocal) on 1 credit for release 15faf802-8bd9-4125-985b-778bced8ace5; studio release-group pass.
