arrangement_id,section_position,section_label,progression,notes
arrangement-sugaree-rukind-key-b,1,verse,B | E,Source display repeats this pair across the first verse.
arrangement-sugaree-rukind-key-b,2,refrain,F#m | C#m | A | E | B | C#m | A | E,
arrangement-sugaree-rukind-key-b,3,chorus,B | E | C#m | A | E,
arrangement-sugaree-rukind-key-b,4,final-variation,C#m | A | E | B,Source labels this as the very last time only.
