performance_link_id,performance_id,platform,link_type,url,title,start_seconds,duration_seconds,is_official,notes
performance-link-gd-1994-10-06-truckin-2-5-archive-track,gd-1994-10-06-truckin-2-5,archive,recording-track,https://archive.org/details/gd1994-10-06.aud.bleich-sirmick.79554.sbeok.flac16/gd94-10-06d2t07.mp3,Truckin' >,,590,false,Track 21 of Internet Archive item gd1994-10-06.aud.bleich-sirmick.79554.sbeok.flac16 (recording-archive-gd1994-10-06-aud-bleich-sirmick-79554-sbeok-flac16); file gd94-10-06d2t07.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-10-06-way-to-go-home-2-3-archive-track,gd-1994-10-06-way-to-go-home-2-3,archive,recording-track,https://archive.org/details/gd1994-10-06.aud.bleich-sirmick.79554.sbeok.flac16/gd94-10-06d2t05.mp3,Way To Go Home,,374,false,Track 19 of Internet Archive item gd1994-10-06.aud.bleich-sirmick.79554.sbeok.flac16 (recording-archive-gd1994-10-06-aud-bleich-sirmick-79554-sbeok-flac16); file gd94-10-06d2t05.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-10-06-wharf-rat-2-9-archive-track,gd-1994-10-06-wharf-rat-2-9,archive,recording-track,https://archive.org/details/gd1994-10-06.aud.bleich-sirmick.79554.sbeok.flac16/gd94-10-06d3t02.mp3,Wharf Rat >,,604,false,Track 25 of Internet Archive item gd1994-10-06.aud.bleich-sirmick.79554.sbeok.flac16 (recording-archive-gd1994-10-06-aud-bleich-sirmick-79554-sbeok-flac16); file gd94-10-06d3t02.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-10-07-brown-eyed-women-1-4-archive-track,gd-1994-10-07-brown-eyed-women-1-4,archive,recording-track,https://archive.org/details/gd1994-10-07.aud.bleich-sirmick.79019.sbeok.flac16/gd94-10-07d1t05.mp3,Brown Eyed Women,,354,false,Track 5 of Internet Archive item gd1994-10-07.aud.bleich-sirmick.79019.sbeok.flac16 (recording-archive-gd1994-10-07-aud-bleich-sirmick-79019-sbeok-flac16); file gd94-10-07d1t05.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-10-07-corrina-2-4-archive-track,gd-1994-10-07-corrina-2-4,archive,recording-track,https://archive.org/details/gd1994-10-07.aud.bleich-sirmick.79019.sbeok.flac16/gd94-10-07d2t05.mp3,Corrina >,,774,false,Track 13 of Internet Archive item gd1994-10-07.aud.bleich-sirmick.79019.sbeok.flac16 (recording-archive-gd1994-10-07-aud-bleich-sirmick-79019-sbeok-flac16); file gd94-10-07d2t05.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-10-07-drums-2-5-archive-track,gd-1994-10-07-drums-2-5,archive,recording-track,https://archive.org/details/gd1994-10-07.aud.bleich-sirmick.79019.sbeok.flac16/gd94-10-07d2t06.mp3,Drums >,,648,false,Track 14 of Internet Archive item gd1994-10-07.aud.bleich-sirmick.79019.sbeok.flac16 (recording-archive-gd1994-10-07-aud-bleich-sirmick-79019-sbeok-flac16); file gd94-10-07d2t06.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-10-07-el-paso-1-5-archive-track,gd-1994-10-07-el-paso-1-5,archive,recording-track,https://archive.org/details/gd1994-10-07.aud.bleich-sirmick.79019.sbeok.flac16/gd94-10-07d1t06.mp3,El Paso *,,339,false,Track 6 of Internet Archive item gd1994-10-07.aud.bleich-sirmick.79019.sbeok.flac16 (recording-archive-gd1994-10-07-aud-bleich-sirmick-79019-sbeok-flac16); file gd94-10-07d1t06.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-10-07-feel-like-a-stranger-1-1-archive-track,gd-1994-10-07-feel-like-a-stranger-1-1,archive,recording-track,https://archive.org/details/gd1994-10-07.aud.bleich-sirmick.79019.sbeok.flac16/gd94-10-07d1t02.mp3,Feel Like A Stranger,,719,false,Track 2 of Internet Archive item gd1994-10-07.aud.bleich-sirmick.79019.sbeok.flac16 (recording-archive-gd1994-10-07-aud-bleich-sirmick-79019-sbeok-flac16); file gd94-10-07d1t02.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-10-07-foolish-heart-2-3-archive-track,gd-1994-10-07-foolish-heart-2-3,archive,recording-track,https://archive.org/details/gd1994-10-07.aud.bleich-sirmick.79019.sbeok.flac16/gd94-10-07d2t04.mp3,Foolish Heart >,,645,false,Track 12 of Internet Archive item gd1994-10-07.aud.bleich-sirmick.79019.sbeok.flac16 (recording-archive-gd1994-10-07-aud-bleich-sirmick-79019-sbeok-flac16); file gd94-10-07d2t04.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-10-07-johnny-b-goode-3-1-archive-track,gd-1994-10-07-johnny-b-goode-3-1,archive,recording-track,https://archive.org/details/gd1994-10-07.aud.bleich-sirmick.79019.sbeok.flac16/gd94-10-07d3t06.mp3,Johnny B. Goode,,301,false,Track 20 of Internet Archive item gd1994-10-07.aud.bleich-sirmick.79019.sbeok.flac16 (recording-archive-gd1994-10-07-aud-bleich-sirmick-79019-sbeok-flac16); file gd94-10-07d3t06.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-10-07-morning-dew-2-9-archive-track,gd-1994-10-07-morning-dew-2-9,archive,recording-track,https://archive.org/details/gd1994-10-07.aud.bleich-sirmick.79019.sbeok.flac16/gd94-10-07d3t04.mp3,Morning Dew,,695,false,Track 18 of Internet Archive item gd1994-10-07.aud.bleich-sirmick.79019.sbeok.flac16 (recording-archive-gd1994-10-07-aud-bleich-sirmick-79019-sbeok-flac16); file gd94-10-07d3t04.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-10-07-samba-in-the-rain-2-2-archive-track,gd-1994-10-07-samba-in-the-rain-2-2,archive,recording-track,https://archive.org/details/gd1994-10-07.aud.bleich-sirmick.79019.sbeok.flac16/gd94-10-07d2t03.mp3,Samba In The Rain,,467,false,Track 11 of Internet Archive item gd1994-10-07.aud.bleich-sirmick.79019.sbeok.flac16 (recording-archive-gd1994-10-07-aud-bleich-sirmick-79019-sbeok-flac16); file gd94-10-07d2t03.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-10-07-space-2-6-archive-track,gd-1994-10-07-space-2-6,archive,recording-track,https://archive.org/details/gd1994-10-07.aud.bleich-sirmick.79019.sbeok.flac16/gd94-10-07d3t01.mp3,Space >,,1023,false,Track 15 of Internet Archive item gd1994-10-07.aud.bleich-sirmick.79019.sbeok.flac16 (recording-archive-gd1994-10-07-aud-bleich-sirmick-79019-sbeok-flac16); file gd94-10-07d3t01.mp3. Derived from preserved representative item metadata; no audio retrieved.
