show_link_id,show_id,platform,link_type,url,title,is_official,notes
show-link-gd-1980-09-30-relisten,gd-1980-09-30,relisten,streaming-show-page,https://relisten.net/grateful-dead/1980/09/30,Listen on Relisten: 1980-09-30 Warfield Theatre,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1980: display_date 1980-09-30, 7 source(s), avg rating 9.50; retrieved 2026-09-01."
show-link-gd-1980-10-02-archive-index,gd-1980-10-02,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1980-10-02,All recordings on the Internet Archive: 1980-10-02 Warfield Theatre,false,"Internet Archive GratefulDead collection listing filtered to date:1980-10-02; 10 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1980-10-02-relisten,gd-1980-10-02,relisten,streaming-show-page,https://relisten.net/grateful-dead/1980/10/02,Listen on Relisten: 1980-10-02 Warfield Theatre,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1980: display_date 1980-10-02, 10 source(s), avg rating 9.64; retrieved 2026-09-01."
show-link-gd-1980-10-03-archive-index,gd-1980-10-03,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1980-10-03,All recordings on the Internet Archive: 1980-10-03 Warfield Theatre,false,"Internet Archive GratefulDead collection listing filtered to date:1980-10-03; 7 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1980-10-03-relisten,gd-1980-10-03,relisten,streaming-show-page,https://relisten.net/grateful-dead/1980/10/03,Listen on Relisten: 1980-10-03 Warfield Theatre,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1980: display_date 1980-10-03, 7 source(s), avg rating 10.00; retrieved 2026-09-01."
show-link-gd-1980-10-04-archive-index,gd-1980-10-04,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1980-10-04,All recordings on the Internet Archive: 1980-10-04 Warfield Theatre,false,"Internet Archive GratefulDead collection listing filtered to date:1980-10-04; 9 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1980-10-04-relisten,gd-1980-10-04,relisten,streaming-show-page,https://relisten.net/grateful-dead/1980/10/04,Listen on Relisten: 1980-10-04 Warfield Theatre,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1980: display_date 1980-10-04, 9 source(s), avg rating 9.33; retrieved 2026-09-01."
show-link-gd-1980-10-06-archive-index,gd-1980-10-06,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1980-10-06,All recordings on the Internet Archive: 1980-10-06 Warfield Theatre,false,"Internet Archive GratefulDead collection listing filtered to date:1980-10-06; 10 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1980-10-06-relisten,gd-1980-10-06,relisten,streaming-show-page,https://relisten.net/grateful-dead/1980/10/06,Listen on Relisten: 1980-10-06 Warfield Theatre,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1980: display_date 1980-10-06, 10 source(s), avg rating 9.20; retrieved 2026-09-01."
show-link-gd-1980-10-07-archive-index,gd-1980-10-07,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1980-10-07,All recordings on the Internet Archive: 1980-10-07 Warfield Theatre,false,"Internet Archive GratefulDead collection listing filtered to date:1980-10-07; 13 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1980-10-07-relisten,gd-1980-10-07,relisten,streaming-show-page,https://relisten.net/grateful-dead/1980/10/07,Listen on Relisten: 1980-10-07 Warfield Theatre,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1980: display_date 1980-10-07, 13 source(s), avg rating 8.22; retrieved 2026-09-01."
show-link-gd-1980-10-09-archive-index,gd-1980-10-09,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1980-10-09,All recordings on the Internet Archive: 1980-10-09 Warfield Theatre,false,"Internet Archive GratefulDead collection listing filtered to date:1980-10-09; 8 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1980-10-09-relisten,gd-1980-10-09,relisten,streaming-show-page,https://relisten.net/grateful-dead/1980/10/09,Listen on Relisten: 1980-10-09 Warfield Theatre,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1980: display_date 1980-10-09, 8 source(s), avg rating 9.11; retrieved 2026-09-01."
show-link-gd-1980-10-10-archive-index,gd-1980-10-10,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1980-10-10,All recordings on the Internet Archive: 1980-10-10 Warfield Theatre,false,"Internet Archive GratefulDead collection listing filtered to date:1980-10-10; 11 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1980-10-10-relisten,gd-1980-10-10,relisten,streaming-show-page,https://relisten.net/grateful-dead/1980/10/10,Listen on Relisten: 1980-10-10 Warfield Theatre,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1980: display_date 1980-10-10, 11 source(s), avg rating 9.29; retrieved 2026-09-01."
show-link-gd-1980-10-11-archive-index,gd-1980-10-11,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1980-10-11,All recordings on the Internet Archive: 1980-10-11 Warfield Theatre,false,"Internet Archive GratefulDead collection listing filtered to date:1980-10-11; 11 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1980-10-11-relisten,gd-1980-10-11,relisten,streaming-show-page,https://relisten.net/grateful-dead/1980/10/11,Listen on Relisten: 1980-10-11 Warfield Theatre,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1980: display_date 1980-10-11, 11 source(s), avg rating 9.60; retrieved 2026-09-01."
show-link-gd-1980-10-13-archive-index,gd-1980-10-13,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1980-10-13,All recordings on the Internet Archive: 1980-10-13 Warfield Theatre,false,"Internet Archive GratefulDead collection listing filtered to date:1980-10-13; 5 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1980-10-13-relisten,gd-1980-10-13,relisten,streaming-show-page,https://relisten.net/grateful-dead/1980/10/13,Listen on Relisten: 1980-10-13 Warfield Theatre,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1980: display_date 1980-10-13, 5 source(s), avg rating 9.43; retrieved 2026-09-01."
show-link-gd-1980-10-14-archive-index,gd-1980-10-14,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1980-10-14,All recordings on the Internet Archive: 1980-10-14 Warfield Theatre,false,"Internet Archive GratefulDead collection listing filtered to date:1980-10-14; 11 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1980-10-14-relisten,gd-1980-10-14,relisten,streaming-show-page,https://relisten.net/grateful-dead/1980/10/14,Listen on Relisten: 1980-10-14 Warfield Theatre,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1980: display_date 1980-10-14, 11 source(s), avg rating 8.41; retrieved 2026-09-01."
show-link-gd-1980-10-18-archive-index,gd-1980-10-18,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1980-10-18,All recordings on the Internet Archive: 1980-10-18 Saenger Performing Arts Center,false,"Internet Archive GratefulDead collection listing filtered to date:1980-10-18; 3 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1980-10-18-relisten,gd-1980-10-18,relisten,streaming-show-page,https://relisten.net/grateful-dead/1980/10/18,Listen on Relisten: 1980-10-18 Saenger Performing Arts Center,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1980: display_date 1980-10-18, 3 source(s), avg rating 7.33; retrieved 2026-09-01."
show-link-gd-1980-10-19-archive-index,gd-1980-10-19,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1980-10-19,All recordings on the Internet Archive: 1980-10-19 Saenger Performing Arts Center,false,"Internet Archive GratefulDead collection listing filtered to date:1980-10-19; 6 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1980-10-19-relisten,gd-1980-10-19,relisten,streaming-show-page,https://relisten.net/grateful-dead/1980/10/19,Listen on Relisten: 1980-10-19 Saenger Performing Arts Center,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1980: display_date 1980-10-19, 6 source(s), avg rating 9.43; retrieved 2026-09-01."
show-link-gd-1980-10-22-archive-index,gd-1980-10-22,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1980-10-22,All recordings on the Internet Archive: 1980-10-22 Radio City Music Hall,false,"Internet Archive GratefulDead collection listing filtered to date:1980-10-22; 4 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1980-10-22-relisten,gd-1980-10-22,relisten,streaming-show-page,https://relisten.net/grateful-dead/1980/10/22,Listen on Relisten: 1980-10-22 Radio City Music Hall,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1980: display_date 1980-10-22, 4 source(s), avg rating 7.80; retrieved 2026-09-01."
show-link-gd-1980-10-23-archive-index,gd-1980-10-23,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1980-10-23,All recordings on the Internet Archive: 1980-10-23 Radio City Music Hall,false,"Internet Archive GratefulDead collection listing filtered to date:1980-10-23; 9 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1980-10-23-relisten,gd-1980-10-23,relisten,streaming-show-page,https://relisten.net/grateful-dead/1980/10/23,Listen on Relisten: 1980-10-23 Radio City Music Hall,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1980: display_date 1980-10-23, 9 source(s), avg rating 9.57; retrieved 2026-09-01."
show-link-gd-1980-10-25-archive-index,gd-1980-10-25,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1980-10-25,All recordings on the Internet Archive: 1980-10-25 Radio City Music Hall,false,"Internet Archive GratefulDead collection listing filtered to date:1980-10-25; 8 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1980-10-25-relisten,gd-1980-10-25,relisten,streaming-show-page,https://relisten.net/grateful-dead/1980/10/25,Listen on Relisten: 1980-10-25 Radio City Music Hall,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1980: display_date 1980-10-25, 8 source(s), avg rating 8.50; retrieved 2026-09-01."
show-link-gd-1980-10-26-archive-index,gd-1980-10-26,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1980-10-26,All recordings on the Internet Archive: 1980-10-26 Radio City Music Hall,false,"Internet Archive GratefulDead collection listing filtered to date:1980-10-26; 10 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1980-10-26-relisten,gd-1980-10-26,relisten,streaming-show-page,https://relisten.net/grateful-dead/1980/10/26,Listen on Relisten: 1980-10-26 Radio City Music Hall,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1980: display_date 1980-10-26, 10 source(s), avg rating 9.43; retrieved 2026-09-01."
show-link-gd-1980-10-27-archive-index,gd-1980-10-27,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1980-10-27,All recordings on the Internet Archive: 1980-10-27 Radio City Music Hall,false,"Internet Archive GratefulDead collection listing filtered to date:1980-10-27; 5 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1980-10-27-relisten,gd-1980-10-27,relisten,streaming-show-page,https://relisten.net/grateful-dead/1980/10/27,Listen on Relisten: 1980-10-27 Radio City Music Hall,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1980: display_date 1980-10-27, 5 source(s), avg rating 9.27; retrieved 2026-09-01."
show-link-gd-1980-10-29-archive-index,gd-1980-10-29,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1980-10-29,All recordings on the Internet Archive: 1980-10-29 Radio City Music Hall,false,"Internet Archive GratefulDead collection listing filtered to date:1980-10-29; 12 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1980-10-29-relisten,gd-1980-10-29,relisten,streaming-show-page,https://relisten.net/grateful-dead/1980/10/29,Listen on Relisten: 1980-10-29 Radio City Music Hall,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1980: display_date 1980-10-29, 12 source(s), avg rating 7.80; retrieved 2026-09-01."
