song_id,title,writers,signal,original_artist,evidence_url,decision
song-far-from-me,Far From Me,,no_writer_data,,,held
song-feedback,Feedback,,no_writer_data,,,held
song-feel-like-a-stranger,Feel Like A Stranger,,no_writer_data,,,held
song-fever,Fever,,no_writer_data,,,held
song-fire-on-the-mountain,Fire On The Mountain,,no_writer_data,,,held
song-foolish-heart,Foolish Heart,,no_writer_data,,,held
song-forever-young,Forever Young,,no_writer_data,,,held
song-foxy-lady-jam,Foxy Lady Jam,,no_writer_data,,,held
song-franklin-s-tower,Franklin's Tower,,no_writer_data,,,held
song-from-the-heart-of-me,From The Heart Of Me,,no_writer_data,,,held
song-frozen-logger,Frozen Logger,person-james-stevens,non_family_writer,,,held
song-gangster-of-love,Gangster Of Love,,no_writer_data,,,held
song-gathering-flowers-for-the-master-s-bouquet,Gathering Flowers For The Master's Bouquet,,no_writer_data,,,held
song-gentlemen-start-your-engines,Gentlemen Start Your Engines,,no_writer_data,,,held
song-get-back,Get Back,person-john-lennon;person-paul-mccartney,non_family_writer,,,held
song-gimme-some-lovin,Gimme Some Lovin',,no_writer_data,,,held
song-gloria,Gloria,,no_writer_data,,,held
song-goin-down-the-road-feelin-bad,Goin' Down The Road Feelin' Bad,,no_writer_data,,,held
song-golden-road-to-unlimited-devotion,Golden Road To Unlimited Devotion,,no_writer_data,,,held
song-good-golly-miss-molly,Good Golly Miss Molly,,no_writer_data,,,held
song-good-lovin,Good Lovin',person-arthur-resnick;person-rudy-clark,non_family_writer,,,held
song-good-morning-little-schoolgirl,Good Morning Little Schoolgirl,,no_writer_data,,,held
song-good-time-blues,Good Time Blues,,no_writer_data,,,held
song-goodnight-irene,Goodnight Irene,,no_writer_data,,,held
song-green-green-grass-of-home,Green Green Grass Of Home,person-claude-curly-putman-jr;person-claude-curly-putman-jr,non_family_writer,,,held
song-green-onions,Green Onions,,no_writer_data,,,held
song-green-river,Green River,,no_writer_data,,,held
song-handsome-cabin-boy-jam,Handsome Cabin Boy Jam,,no_writer_data,,,held
song-happiness-is-drumming,Happiness Is Drumming,,no_writer_data,,,held
song-hard-to-handle,Hard To Handle,person-allen-jones;person-alvertis-isbell;person-otis-redding,non_family_writer,,,held
song-he-was-a-friend-of-mine,He Was A Friend Of Mine,,no_writer_data,,,held
song-heads-up,Heads Up,,no_writer_data,,,held
song-heaven-help-the-fool,Heaven Help The Fool,,no_writer_data,,,held
